"ID","Start Time","Time Occluded","Length","Speed","Ground Clearance"
"","","ms","cm","kmh","cm"
"123","2018-03-27 15:04:42","478","39.10909090909091","8.181818181818182","20"
"123","2018-03-27 15:04:44","498","27.58153846153846","5.538461538461538","20"
"123","2018-03-27 15:04:47","582","58.2","10.0","19"
"123","2018-03-27 15:04:54","328","13.120000000000003","4.000000000000001","19"
"123","2018-03-27 15:04:56","348","11.286486486486488","3.243243243243244","19"
